accession	tissue_raw	tissue_category
SAMN25687270	Leaf	leaf
SAMN17360645	leaf	leaf
SAMN17360644	leaf	leaf
SAMN17199924	leaves	leaf
SAMN17199923	leaves	leaf
SAMEA104170405	young leaves	leaf
SAMN24907316	leaf	leaf
SAMN24907315	leaf	leaf
SAMN24619893	leaves	leaf
SAMN16912851	Aerial	aerial_other
SAMN16912850	Aerial	aerial_other
SAMN16912849	Aerial	aerial_other
SAMN16912848	Aerial	aerial_other
SAMN16912847	Aerial	aerial_other
SAMN16912846	Aerial	aerial_other
SAMN16912845	Aerial	aerial_other
SAMN16912844	Aerial	aerial_other
SAMN16912843	Aerial	aerial_other
SAMN16912842	Aerial	aerial_other
SAMN16912841	Aerial	aerial_other
SAMN16912840	Aerial	aerial_other
SAMN16912839	Aerial	aerial_other
SAMN16912838	Aerial	aerial_other
SAMN16912837	Aerial	aerial_other
SAMN16912836	Aerial	aerial_other
SAMN16912835	Aerial	aerial_other
SAMN16912834	Aerial	aerial_other
SAMN16912833	Aerial	aerial_other
SAMN16912832	Aerial	aerial_other
SAMN16912831	Aerial	aerial_other
SAMN16912830	Aerial	aerial_other
SAMN16338389	Leaf	leaf
SAMN16338388	Leaf	leaf
SAMN15783624	Leaves	leaf
SAMN15783623	Leaves	leaf
SAMN15783622	Leaves	leaf
SAMN15783621	Leaves	leaf
SAMN23131941	stem	aerial_other
SAMN23131940	leaf	leaf
SAMN23131939	leaf	leaf
SAMN23131938	leaf	leaf
SAMN23131937	stem	aerial_other
SAMN23131936	stem	aerial_other
SAMN23131935	stem	aerial_other
SAMN23131934	leaf	leaf
SAMN23131933	leaf	leaf
SAMN23131932	leaf	leaf
SAMN23131931	stem	aerial_other
SAMN23131930	stem	aerial_other
SAMN23131929	stem	aerial_other
SAMN23131928	leaf	leaf
SAMN23131927	leaf	leaf
SAMN23131926	leaf	leaf
SAMN23131925	stem	aerial_other
SAMN23131924	stem	aerial_other
SAMN23131923	stem	aerial_other
SAMN23131922	leaf	leaf
SAMN23131921	leaf	leaf
SAMN23131920	leaf	leaf
SAMN23131919	stem	aerial_other
SAMN23131918	stem	aerial_other
SAMN23131917	stem	aerial_other
SAMN23131916	leaf	leaf
SAMN23131915	leaf	leaf
SAMN23131914	leaf	leaf
SAMN23131889	stem	aerial_other
SAMN23131888	stem	aerial_other
SAMN23131887	stem	aerial_other
SAMN23131886	stem	aerial_other
SAMN23131885	stem	aerial_other
SAMN23131884	leaf	leaf
SAMN23131873	leaf	leaf
SAMN23131872	leaf	leaf
SAMN24254400	leafs	leaf
SAMN24254399	leafs	leaf
SAMN24254398	leafs	leaf
SAMN24180563	leaf	leaf
SAMN24180562	leaf	leaf
SAMN24180561	leaf	leaf
SAMN24180560	leaf	leaf
SAMN24180559	leaf	leaf
SAMN24180558	leaf	leaf
SAMN24180557	leaf	leaf
SAMN24180556	leaf	leaf
SAMN24180555	leaf	leaf
SAMN24180554	leaf	leaf
SAMN24180553	leaf	leaf
SAMN24180552	leaf	leaf
SAMN24180551	leaf	leaf
SAMN24180550	leaf	leaf
SAMN24180549	leaf	leaf
SAMN24180548	leaf	leaf
SAMN24180547	leaf	leaf
SAMN24180546	leaf	leaf
SAMN24180545	leaf	leaf
SAMN24180544	leaf	leaf
SAMN24180543	leaf	leaf
SAMN24180542	leaf	leaf
SAMN24180541	leaf	leaf
SAMN24180540	leaf	leaf
SAMN20119776	shoot	aerial_other
SAMN20119775	shoot	aerial_other
SAMN20119774	shoot	aerial_other
SAMN20119773	shoot	aerial_other
SAMN16931594	Panicle	aerial_other
SAMN16931593	Panicle	aerial_other
SAMN16931592	Panicle	aerial_other
SAMN16931591	Panicle	aerial_other
SAMN23880056	leaves	leaf
SAMN23585438	Shoot tip	aerial_other
SAMN23585437	Shoot tip	aerial_other
SAMN23585436	Shoot tip	aerial_other
SAMN23585435	Shoot tip	aerial_other
SAMN23585434	Shoot tip	aerial_other
SAMN23585433	Shoot tip	aerial_other
SAMN23585432	Shoot tip	aerial_other
SAMN23585431	Shoot tip	aerial_other
SAMN23585430	Shoot tip	aerial_other
SAMN23585429	Shoot tip	aerial_other
SAMN23585428	Shoot tip	aerial_other
SAMN23585427	Shoot tip	aerial_other
SAMN23585426	Shoot tip	aerial_other
SAMN23585425	Shoot tip	aerial_other
SAMN23585424	Shoot tip	aerial_other
SAMN23585423	Shoot tip	aerial_other
SAMN23585422	Shoot tip	aerial_other
SAMN23585421	Shoot tip	aerial_other
SAMN23585420	Shoot tip	aerial_other
SAMN23585419	Shoot tip	aerial_other
SAMN23585418	Shoot tip	aerial_other
SAMN23585417	Shoot tip	aerial_other
SAMN23585416	Shoot tip	aerial_other
SAMN23585415	Shoot tip	aerial_other
SAMN23585414	Shoot tip	aerial_other
SAMN23585413	Shoot tip	aerial_other
SAMN23585412	Shoot tip	aerial_other
SAMN23585411	Shoot tip	aerial_other
SAMN23585410	Shoot tip	aerial_other
SAMN23585409	Shoot tip	aerial_other
SAMN23585408	Shoot tip	aerial_other
SAMN23585407	Shoot tip	aerial_other
SAMN23585406	Shoot tip	aerial_other
SAMN23585405	Shoot tip	aerial_other
SAMN23585404	Shoot tip	aerial_other
SAMN23585403	Shoot tip	aerial_other
SAMN23585402	Shoot tip	aerial_other
SAMN23585401	Shoot tip	aerial_other
SAMN23585400	Shoot tip	aerial_other
SAMN23585399	Shoot tip	aerial_other
SAMN23585398	Shoot tip	aerial_other
SAMN23585397	Shoot tip	aerial_other
SAMN23585396	Shoot tip	aerial_other
