BioProject	search	text	outcome
PRJNA816710	No DOI found	No DOI	No full text available
PRJNA412801	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1214325	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA514200	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA706136	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA750086	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA302556	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA892753	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA834779	No DOI found	No DOI	No full text available
PRJNA630776	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA926628	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA513863	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1193783	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA321325	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA863072	No DOI found	No DOI	No full text available
PRJDB39328	No DOI found	No DOI	No full text available
PRJNA1465031	No DOI found	No DOI	No full text available
PRJNA548433	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA733882	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA926886	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA975311	No DOI found	No DOI	No full text available
PRJNA1423152	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1309984	No DOI found	No DOI	No full text available
PRJNA1080069	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA450087	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA896484	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA707414	No DOI found	No DOI	No full text available
PRJNA896566	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA834642	No DOI found	No DOI	No full text available
PRJNA515188	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1056156	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA509606	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA540081	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA372372	No DOI found	No DOI	No full text available
PRJNA548845	NCBI (PMID)	PMC OA	Full text retrieved
PRJDB39569	No DOI found	No DOI	No full text available
PRJNA552611	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA720576	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1392009	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA531693	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA564795	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA798863	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA986958	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1054220	No DOI found	No DOI	No full text available
PRJNA649099	No DOI found	No DOI	No full text available
PRJNA986524	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1419210	No DOI found	No DOI	No full text available
PRJNA952825	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1272129	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1255403	No DOI found	No DOI	No full text available
PRJNA573599	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA1156254	Web search	Manual PDF	Full text retrieved
PRJNA1133704	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA548392	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1390310	Web search	Manual PDF	Full text retrieved
PRJNA395311	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA862687	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1443087	No DOI found	No DOI	No full text available
PRJEB59238	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1055424	Web search	Unpaywall PDF	Full text retrieved
PRJNA912078	No DOI found	No DOI	No full text available
PRJNA516527	Web search	Manual PDF	Full text retrieved
PRJNA415853	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA483762	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1058883	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA598331	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA757397	NCBI (PMID)	PMC OA	Full text retrieved
PRJEB48949	NCBI (PMID)	PMC OA	Full text retrieved
PRJDB11138	No DOI found	No DOI	No full text available
PRJNA1245489	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1106750	No DOI found	No DOI	No full text available
PRJNA437324	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA246444	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA562045	No DOI found	No DOI	No full text available
PRJNA445615	No DOI found	No DOI	No full text available
PRJNA327437	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1041741	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA473829	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA327013	NCBI (PMID)	Unpaywall PDF	Full text retrieved
PRJNA1217477	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA755474	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA721951	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1188982	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA640476	NCBI (PMID)	PMC OA	Full text retrieved
PRJNA1123450	NCBI (PMID)	Manual PDF	Full text retrieved
PRJNA804213	NCBI (PMID)	PMC OA	Full text retrieved
